chr1 start1 end1 tsrID nTAGs strand chr2 annotation feature start2 end2 score1 strand score2 geneID distanceToGene
4901 scaffold_21 1196194 1196194 tsr_6534 27 - scaffold_21 maker gene 1193863 1200673 . - . dp_gene10988 0
4902 scaffold_21 1200193 1200227 tsr_6535 41 - scaffold_21 maker gene 1193863 1200673 . - . dp_gene10988 0
4903 scaffold_21 1200403 1200404 tsr_6536 135 - scaffold_21 maker gene 1193863 1200673 . - . dp_gene10988 0
4904 scaffold_21 1200590 1200592 tsr_6537 44 - scaffold_21 maker gene 1193863 1200673 . - . dp_gene10988 0
4905 scaffold_21 1200634 1200634 tsr_6538 24 - scaffold_21 maker gene 1193863 1200673 . - . dp_gene10988 0
4906 scaffold_21 1266494 1266494 tsr_6540 31 - scaffold_21 maker gene 1266912 1267985 . - . dp_gene11003 417
4907 scaffold_21 1271913 1271913 tsr_6541 32 - scaffold_21 maker gene 1271040 1290695 . - . dp_gene11006 0
4911 scaffold_21 1389070 1389070 tsr_6546 44 - scaffold_21 maker gene 1387965 1397331 . - . dp_gene11020 0
4917 scaffold_21 1946201 1946210 tsr_6555 61 - scaffold_21 maker gene 1943981 1946203 . - . dp_gene11063 0
4932 scaffold_211 135398 135405 tsr_6570 138 + scaffold_211 maker gene 135176 137388 . + . dp_gene20642 0
4998 scaffold_22 413472 413499 tsr_6651 46 + scaffold_22 maker gene 413363 415533 . + . dp_gene11137 0
5065 scaffold_22 697461 697483 tsr_6758 66 - scaffold_22 maker gene 693698 697541 . - . dp_gene11174 0
5086 scaffold_22 868885 868885 tsr_6787 23 - scaffold_22 maker gene 864588 869058 . - . dp_gene11211 0
5087 scaffold_22 881514 881514 tsr_6788 20 - scaffold_22 maker gene 877217 881687 . - . dp_gene11212 0
5088 scaffold_22 893659 893659 tsr_6789 27 - scaffold_22 maker gene 889369 893832 . - . dp_gene11214 0
5089 scaffold_22 906883 906883 tsr_6790 32 - scaffold_22 maker gene 902590 907056 . - . dp_gene11216 0
5094 scaffold_22 1170033 1170033 tsr_6801 59 - scaffold_22 maker gene 1168690 1170044 . - . dp_gene11242 0
5140 scaffold_223 44861 44866 tsr_6867 2599 + scaffold_223 maker gene 44857 45717 . + . dp_gene20800 0
5143 scaffold_223 63659 63664 tsr_6870 491 + scaffold_223 maker gene 63664 65039 . + . dp_gene20806 0
5156 scaffold_224 54335 54335 tsr_6884 35 + scaffold_224 maker gene 44555 56410 . + . dp_gene20822 0
5159 scaffold_227 124846 124870 tsr_6893 133 - scaffold_227 maker gene 123985 124890 . - . dp_gene20851 0
5164 scaffold_229 49735 49735 tsr_6906 21 - scaffold_229 maker gene 48467 49840 . - . dp_gene20878 0
5175 scaffold_23 1557046 1557046 tsr_6922 22 + scaffold_23 maker gene 1553688 1556084 . + . dp_gene11424 962
5187 scaffold_23 377186 377186 tsr_6942 76 - scaffold_23 maker gene 372912 378167 . - . dp_gene11345 0
5206 scaffold_232 106887 106887 tsr_6973 47 + scaffold_232 maker gene 106886 108122 . + . dp_gene20950 0
5214 scaffold_236 42794 42795 tsr_6983 50 - scaffold_236 maker gene 37910 49929 . - . dp_gene20963 0
5215 scaffold_236 45490 45490 tsr_6984 47 - scaffold_236 maker gene 37910 49929 . - . dp_gene20963 0
5217 scaffold_237 83754 83754 tsr_6987 76 - scaffold_237 maker gene 81934 83839 . - . dp_gene20985 0
5219 scaffold_239 14918 14918 tsr_6989 29 + scaffold_239 maker gene 2338 20380 . + . dp_gene20995 0
5267 scaffold_24 1691817 1691817 tsr_7077 23 + scaffold_24 maker gene 1691745 1692367 . + . dp_gene11698 0
5276 scaffold_24 160206 160206 tsr_7093 204 - scaffold_24 maker gene 160981 163151 . - . dp_gene11478 774
5286 scaffold_24 724409 724409 tsr_7113 29 - scaffold_24 maker gene 723379 726468 . - . dp_gene11546 0
5287 scaffold_24 814481 814481 tsr_7114 22 - scaffold_24 maker gene 813343 817278 . - . dp_gene11563 0
5288 scaffold_24 814890 814890 tsr_7115 50 - scaffold_24 maker gene 813343 817278 . - . dp_gene11563 0
5308 scaffold_24 1297478 1297478 tsr_7147 42 - scaffold_24 maker gene 1295572 1297498 . - . dp_gene11641 0
5309 scaffold_24 1363234 1363243 tsr_7152 53 - scaffold_24 maker gene 1359225 1363921 . - . dp_gene11648 0
5324 scaffold_240 42292 42292 tsr_7178 40 + scaffold_240 maker gene 40104 43321 . + . dp_gene21002 0
5325 scaffold_240 80216 80216 tsr_7181 22 + scaffold_240 maker gene 80086 81276 . + . dp_gene21009 0
5329 scaffold_243 18336 18336 tsr_7187 52 - scaffold_243 maker gene 17421 18396 . - . dp_gene21027 0
5331 scaffold_244 74297 74297 tsr_7190 23 - scaffold_244 maker gene 72671 74357 . - . dp_gene21044 0
5411 scaffold_25 557605 557605 tsr_7304 158 - scaffold_25 maker gene 556329 557700 . - . dp_gene11755 0
5454 scaffold_25 1569025 1569025 tsr_7358 52 - scaffold_25 maker gene 1569939 1571096 . - . dp_gene11861 913
5458 scaffold_252 53468 53550 tsr_7365 1078 - scaffold_252 maker gene 53037 53824 . - . dp_gene21095 0
5459 scaffold_252 53836 53841 tsr_7366 10592 - scaffold_252 maker gene 54261 55791 . - . dp_gene21096 420
5473 scaffold_255 2518 2518 tsr_7382 24 + scaffold_255 maker gene 2492 5469 . + . dp_gene21113 0
5492 scaffold_26 33783 33783 tsr_7407 75 + scaffold_26 maker gene 33712 36036 . + . dp_gene11884 0
5526 scaffold_26 570552 570552 tsr_7446 25 + scaffold_26 maker gene 569324 571263 . + . dp_gene12001 0
5534 scaffold_26 833240 833240 tsr_7458 95 + scaffold_26 maker gene 833168 842685 . + . dp_gene12057 0
5538 scaffold_26 930855 930855 tsr_7462 26 + scaffold_26 maker gene 930644 933385 . + . dp_gene12072 0
5550 scaffold_26 1091066 1091066 tsr_7477 20 + scaffold_26 maker gene 1091060 1092873 . + . dp_gene12108 0
5573 scaffold_26 1294540 1294540 tsr_7502 56 + scaffold_26 maker gene 1294416 1297632 . + . dp_gene12147 0
5583 scaffold_26 1382066 1382066 tsr_7513 22 + scaffold_26 maker gene 1382051 1385040 . + . dp_gene12165 0
5644 scaffold_26 943385 943385 tsr_7585 31 - scaffold_26 maker gene 942763 943870 . - . dp_gene12076 0
5645 scaffold_26 943561 943578 tsr_7586 265 - scaffold_26 maker gene 942763 943870 . - . dp_gene12076 0
5659 scaffold_26 1173087 1173087 tsr_7603 40 - scaffold_26 maker gene 1171266 1173172 . - . dp_gene12122 0
5663 scaffold_26 1380753 1380755 tsr_7607 49 - scaffold_26 maker gene 1368492 1380783 . - . dp_gene12164 0
5664 scaffold_26 1394910 1394912 tsr_7608 56 - scaffold_26 maker gene 1395347 1397189 . - . dp_gene12170 435
5673 scaffold_26 1447381 1447409 tsr_7621 73 - scaffold_26 maker gene 1446189 1447403 . - . dp_gene12182 0
5679 scaffold_26 1583625 1583625 tsr_7628 191 - scaffold_26 maker gene 1582061 1583651 . - . dp_gene12201 0
5687 scaffold_262 23967 23971 tsr_7643 99 - scaffold_262 maker gene 23580 24108 . - . dp_gene21208 0
5688 scaffold_262 62272 62276 tsr_7644 96 - scaffold_262 maker gene 60983 62413 . - . dp_gene21212 0
5696 scaffold_267 58426 58427 tsr_7652 259 + scaffold_267 maker gene 56711 57606 . + . dp_gene21244 821
5697 scaffold_267 65124 65127 tsr_7654 213 + scaffold_267 maker gene 62972 68157 . + . dp_gene21245 0
5742 scaffold_27 531178 531179 tsr_7709 44 + scaffold_27 maker gene 531160 532385 . + . dp_gene12289 0
5858 scaffold_27 690077 690080 tsr_7848 120 - scaffold_27 maker gene 686528 690262 . - . dp_gene12316 0
5859 scaffold_27 706784 706784 tsr_7850 20 - scaffold_27 maker gene 704154 706784 . - . dp_gene12320 0
5878 scaffold_27 1228593 1228593 tsr_7883 31 - scaffold_27 maker gene 1228991 1229612 . - . dp_gene12405 397
5880 scaffold_27 1299349 1299349 tsr_7885 21 - scaffold_27 maker gene 1299660 1301842 . - . dp_gene12420 310
5892 scaffold_271 14139 14139 tsr_7903 27 - scaffold_271 maker gene 12828 14211 . - . dp_gene21262 0
5900 scaffold_275 11375 11375 tsr_7914 62 - scaffold_275 maker gene 11662 13709 . - . dp_gene21289 286
5905 scaffold_278 27374 27408 tsr_7927 70 - scaffold_278 maker gene 23761 27384 . - . dp_gene21312 0
5910 scaffold_28 37734 37734 tsr_7934 20 + scaffold_28 maker gene 37727 40444 . + . dp_gene12476 0
5914 scaffold_28 101372 101422 tsr_7939 202 + scaffold_28 maker gene 101288 103860 . + . dp_gene12490 0
5922 scaffold_28 323676 323677 tsr_7949 814 + scaffold_28 maker gene 322540 323292 . + . dp_gene12537 385
5925 scaffold_28 510385 510385 tsr_7957 121 + scaffold_28 maker gene 510217 511957 . + . dp_gene12571 0
5926 scaffold_28 510907 510907 tsr_7958 27 + scaffold_28 maker gene 510217 511957 . + . dp_gene12571 0
5942 scaffold_28 1008817 1008817 tsr_7988 27 + scaffold_28 maker gene 1008291 1009091 . + . dp_gene12676 0
5963 scaffold_28 1312656 1312656 tsr_8015 30 + scaffold_28 maker gene 1312147 1314047 . + . dp_gene12741 0
5973 scaffold_28 117524 117524 tsr_8031 23 - scaffold_28 maker gene 116716 117719 . - . dp_gene12492 0
5977 scaffold_28 122820 122820 tsr_8035 21 - scaffold_28 maker gene 123138 126020 . - . dp_gene12495 317
5992 scaffold_28 312897 312908 tsr_8050 86 - scaffold_28 maker gene 313657 317461 . - . dp_gene12536 749
5993 scaffold_28 317408 317408 tsr_8051 20 - scaffold_28 maker gene 313657 317461 . - . dp_gene12536 0
6005 scaffold_28 537593 537593 tsr_8063 33 - scaffold_28 maker gene 534994 537851 . - . dp_gene12576 0
6006 scaffold_28 537752 537770 tsr_8064 196 - scaffold_28 maker gene 534994 537851 . - . dp_gene12576 0
6007 scaffold_28 542586 542586 tsr_8066 31 - scaffold_28 maker gene 541604 542669 . - . dp_gene12579 0
6038 scaffold_28 1247431 1247431 tsr_8110 23 - scaffold_28 maker gene 1247770 1248122 . - . dp_gene12729 338
6066 scaffold_29 165962 165962 tsr_8153 22 + scaffold_29 maker gene 165772 170550 . + . dp_gene12777 0
6085 scaffold_29 874456 874456 tsr_8199 23 - scaffold_29 maker gene 873928 875456 . - . dp_gene12822 0
6099 scaffold_296 32566 32566 tsr_8222 100 - scaffold_296 maker gene 27795 36226 . - . dp_gene21436 0
6111 scaffold_299 44470 44472 tsr_8240 67 + scaffold_299 maker gene 44461 46160 . + . dp_gene21460 0
6152 scaffold_3 832894 832894 tsr_8294 25 + scaffold_3 maker gene 830575 834491 . + . dp_gene2343 0
6161 scaffold_3 965378 965396 tsr_8303 310 + scaffold_3 maker gene 962239 964628 . + . dp_gene2376 751
6192 scaffold_3 1518007 1518012 tsr_8346 133 + scaffold_3 maker gene 1517909 1519408 . + . dp_gene2480 0
6267 scaffold_3 3401636 3401636 tsr_8463 74 + scaffold_3 maker gene 3400640 3403492 . + . dp_gene2762 0
6294 scaffold_3 4008219 4008219 tsr_8494 36 + scaffold_3 maker gene 4008197 4010771 . + . dp_gene2848 0
6324 scaffold_3 4863003 4863023 tsr_8543 593 + scaffold_3 maker gene 4862664 4863553 . + . dp_gene2961 0
6325 scaffold_3 4863063 4863063 tsr_8544 21 + scaffold_3 maker gene 4862664 4863553 . + . dp_gene2961 0
6326 scaffold_3 4863274 4863275 tsr_8545 128 + scaffold_3 maker gene 4862664 4863553 . + . dp_gene2961 0
6327 scaffold_3 4863320 4863320 tsr_8546 190 + scaffold_3 maker gene 4862664 4863553 . + . dp_gene2961 0
6363 scaffold_3 5527409 5527412 tsr_8593 53 + scaffold_3 maker gene 5527394 5530562 . + . dp_gene3076 0
6377 scaffold_3 5774857 5774857 tsr_8613 41 + scaffold_3 maker gene 5766556 5783283 . + . dp_gene3125 0
6396 scaffold_3 6262570 6262570 tsr_8642 27 + scaffold_3 maker gene 6262053 6266684 . + . dp_gene3197 0
6397 scaffold_3 6263438 6263438 tsr_8643 27 + scaffold_3 maker gene 6262053 6266684 . + . dp_gene3197 0
6398 scaffold_3 6264250 6264250 tsr_8644 29 + scaffold_3 maker gene 6262053 6266684 . + . dp_gene3197 0
6399 scaffold_3 6265132 6265132 tsr_8645 21 + scaffold_3 maker gene 6262053 6266684 . + . dp_gene3197 0
6466 scaffold_3 1448551 1448551 tsr_8739 120 - scaffold_3 maker gene 1434705 1448551 . - . dp_gene2461 0
6498 scaffold_3 2053765 2053765 tsr_8784 20 - scaffold_3 maker gene 2053069 2053901 . - . dp_gene2558 0
6526 scaffold_3 2993116 2993116 tsr_8827 49 - scaffold_3 maker gene 2986696 2997372 . - . dp_gene2683 0
6562 scaffold_3 4087831 4087831 tsr_8882 25 - scaffold_3 maker gene 4087071 4087856 . - . dp_gene2857 0
6570 scaffold_3 4315308 4315308 tsr_8896 45 - scaffold_3 maker gene 4314640 4315640 . - . dp_gene2886 0
6571 scaffold_3 4315577 4315577 tsr_8897 50 - scaffold_3 maker gene 4314640 4315640 . - . dp_gene2886 0
6587 scaffold_3 4542818 4542839 tsr_8916 149 - scaffold_3 maker gene 4541166 4542819 . - . dp_gene2912 0
6634 scaffold_3 5339211 5339211 tsr_8977 26 - scaffold_3 maker gene 5339016 5340987 . - . dp_gene3049 0
6639 scaffold_3 5501792 5501810 tsr_8987 112 - scaffold_3 maker gene 5501852 5507254 . - . dp_gene3068 42
6657 scaffold_3 5710314 5710314 tsr_9009 22 - scaffold_3 maker gene 5707655 5710336 . - . dp_gene3112 0
6687 scaffold_30 145864 145882 tsr_9053 126 + scaffold_30 maker gene 145665 146174 . + . dp_gene12858 0
6746 scaffold_30 139047 139049 tsr_9135 53 - scaffold_30 maker gene 132890 139255 . - . dp_gene12856 0
6779 scaffold_30 981117 981117 tsr_9181 31 - scaffold_30 maker gene 977047 981230 . - . dp_gene12983 0
6793 scaffold_300 43832 43832 tsr_9200 31 + scaffold_300 maker gene 43760 45244 . + . dp_gene21471 0
6855 scaffold_31 344962 344962 tsr_9295 37 - scaffold_31 maker gene 342300 345159 . - . dp_gene13080 0
6875 scaffold_31 1148536 1148536 tsr_9328 21 - scaffold_31 maker gene 1148213 1153392 . - . dp_gene13211 0
6876 scaffold_310 1941 1941 tsr_9329 38 + scaffold_310 maker gene 1812 4250 . + . dp_gene21521 0
6893 scaffold_317 33189 33196 tsr_9348 531 - scaffold_317 maker gene 24259 34939 . - . dp_gene21580 0
6913 scaffold_32 500914 500916 tsr_9374 52 - scaffold_32 maker gene 498518 501008 . - . dp_gene13264 0
6932 scaffold_327 10734 10739 tsr_9400 141 - scaffold_327 maker gene 9409 11779 . - . dp_gene21609 0
6933 scaffold_327 36290 36291 tsr_9401 62 - scaffold_327 maker gene 30626 36299 . - . dp_gene21610 0
6970 scaffold_33 597704 597704 tsr_9449 57 + scaffold_33 maker gene 593798 596879 . + . dp_gene13393 825
6979 scaffold_33 700064 700064 tsr_9462 26 + scaffold_33 maker gene 695674 699886 . + . dp_gene13416 178
6982 scaffold_33 708551 708551 tsr_9466 20 + scaffold_33 maker gene 708155 713274 . + . dp_gene13418 0
7008 scaffold_33 106556 106556 tsr_9498 36 - scaffold_33 maker gene 105573 107147 . - . dp_gene13330 0
7053 scaffold_33 1360157 1360193 tsr_9559 130 - scaffold_33 maker gene 1358536 1360391 . - . dp_gene13492 0
7077 scaffold_34 17836 17836 tsr_9587 28 + scaffold_34 maker gene 17562 18770 . + . dp_gene13494 0
7320 scaffold_36 1210944 1210944 tsr_9967 47 + scaffold_36 maker gene 1205644 1213129 . + . dp_gene13981 0
7393 scaffold_363 4589 4589 tsr_10049 23 - scaffold_363 maker gene 115 4741 . - . dp_gene21806 0
7407 scaffold_367 4984 4986 tsr_10066 84 - scaffold_367 maker gene 2492 5023 . - . dp_gene21828 0
7437 scaffold_37 1077677 1077680 tsr_10106 66 + scaffold_37 maker gene 1077578 1080787 . + . dp_gene14138 0
7438 scaffold_37 1077762 1077768 tsr_10107 175 + scaffold_37 maker gene 1077578 1080787 . + . dp_gene14138 0
7439 scaffold_37 1078379 1078381 tsr_10108 72 + scaffold_37 maker gene 1077578 1080787 . + . dp_gene14138 0
7440 scaffold_37 1078513 1078513 tsr_10109 25 + scaffold_37 maker gene 1077578 1080787 . + . dp_gene14138 0
7441 scaffold_37 1078730 1078730 tsr_10110 37 + scaffold_37 maker gene 1077578 1080787 . + . dp_gene14138 0
7443 scaffold_37 1132799 1132799 tsr_10114 21 + scaffold_37 maker gene 1132358 1136472 . + . dp_gene14153 0
7447 scaffold_37 136613 136613 tsr_10121 26 - scaffold_37 maker gene 136863 138365 . - . dp_gene14003 249
7451 scaffold_37 242544 242544 tsr_10128 72 - scaffold_37 maker gene 241798 242604 . - . dp_gene14020 0
7452 scaffold_37 288501 288501 tsr_10129 20 - scaffold_37 maker gene 285482 288832 . - . dp_gene14023 0
7478 scaffold_38 212285 212285 tsr_10164 36 + scaffold_38 maker gene 208202 214065 . + . dp_gene14185 0
7480 scaffold_38 312869 312869 tsr_10168 93 + scaffold_38 maker gene 307160 323535 . + . dp_gene14201 0
7481 scaffold_38 316984 316984 tsr_10169 41 + scaffold_38 maker gene 307160 323535 . + . dp_gene14201 0
7482 scaffold_38 321752 321752 tsr_10170 48 + scaffold_38 maker gene 307160 323535 . + . dp_gene14201 0
7498 scaffold_38 142151 142151 tsr_10199 20 - scaffold_38 maker gene 137679 142262 . - . dp_gene14172 0
7499 scaffold_38 142191 142191 tsr_10200 26 - scaffold_38 maker gene 137679 142262 . - . dp_gene14172 0
7512 scaffold_38 469824 469824 tsr_10215 20 - scaffold_38 maker gene 468675 469834 . - . dp_gene14219 0
7538 scaffold_388 6727 6728 tsr_10256 56 - scaffold_388 maker gene 2601 6731 . - . dp_gene21891 0
7568 scaffold_39 100782 100784 tsr_10292 840 - scaffold_39 maker gene 101260 103505 . - . dp_gene14354 476
7569 scaffold_39 319126 319128 tsr_10293 128 - scaffold_39 maker gene 293239 319399 . - . dp_gene14372 0
7575 scaffold_39 565078 565078 tsr_10301 25 - scaffold_39 maker gene 558600 565171 . - . dp_gene14395 0
7576 scaffold_39 693950 693950 tsr_10302 24 - scaffold_39 maker gene 685699 696829 . - . dp_gene14404 0
7577 scaffold_39 695535 695538 tsr_10303 103 - scaffold_39 maker gene 685699 696829 . - . dp_gene14404 0
7578 scaffold_39 695627 695627 tsr_10304 30 - scaffold_39 maker gene 685699 696829 . - . dp_gene14404 0
7579 scaffold_39 695680 695682 tsr_10305 138 - scaffold_39 maker gene 685699 696829 . - . dp_gene14404 0
7580 scaffold_39 696674 696729 tsr_10306 3601 - scaffold_39 maker gene 685699 696829 . - . dp_gene14404 0
7598 scaffold_4 67885 67885 tsr_10327 105 + scaffold_4 maker gene 67692 70207 . + . dp_gene3235 0
7632 scaffold_4 662742 662746 tsr_10371 1326 + scaffold_4 maker gene 661731 664061 . + . dp_gene3367 0
7661 scaffold_4 1135130 1135130 tsr_10411 25 + scaffold_4 maker gene 1134561 1134997 . + . dp_gene3460 133
7672 scaffold_4 1242248 1242248 tsr_10423 22 + scaffold_4 maker gene 1242219 1243570 . + . dp_gene3480 0
7683 scaffold_4 1321213 1321214 tsr_10438 132 + scaffold_4 maker gene 1321118 1323004 . + . dp_gene3500 0
7684 scaffold_4 1453048 1453048 tsr_10439 26 + scaffold_4 maker gene 1452568 1454198 . + . dp_gene3518 0
7720 scaffold_4 1970338 1970338 tsr_10484 20 + scaffold_4 maker gene 1969800 1970439 . + . dp_gene3623 0
7743 scaffold_4 2267504 2267504 tsr_10510 282 + scaffold_4 maker gene 2266764 2275029 . + . dp_gene3675 0
7749 scaffold_4 2315386 2315386 tsr_10518 100 + scaffold_4 maker gene 2311084 2332512 . + . dp_gene3688 0
7787 scaffold_4 3139531 3139535 tsr_10569 540 + scaffold_4 maker gene 3139535 3140126 . + . dp_gene3843 0
7849 scaffold_4 4109713 4109719 tsr_10648 157 + scaffold_4 maker gene 4109717 4111594 . + . dp_gene3987 0
7850 scaffold_4 4121783 4121783 tsr_10649 24 + scaffold_4 maker gene 4117637 4121479 . + . dp_gene3988 304
7901 scaffold_4 4995326 4995326 tsr_10712 21 + scaffold_4 maker gene 4994830 4997002 . + . dp_gene4074 0
7904 scaffold_4 26067 26067 tsr_10715 21 - scaffold_4 maker gene 20899 27677 . - . dp_gene3225 0
7920 scaffold_4 407405 407405 tsr_10734 36 - scaffold_4 maker gene 405090 407534 . - . dp_gene3297 0
7936 scaffold_4 604665 604665 tsr_10753 43 - scaffold_4 maker gene 602282 604881 . - . dp_gene3352 0
7945 scaffold_4 688484 688484 tsr_10763 27 - scaffold_4 maker gene 685855 691864 . - . dp_gene3375 0
7946 scaffold_4 690636 690636 tsr_10764 24 - scaffold_4 maker gene 685855 691864 . - . dp_gene3375 0
7947 scaffold_4 691063 691063 tsr_10765 22 - scaffold_4 maker gene 685855 691864 . - . dp_gene3375 0
7959 scaffold_4 990996 990996 tsr_10779 24 - scaffold_4 maker gene 987308 991023 . - . dp_gene3435 0
7972 scaffold_4 1251608 1251608 tsr_10797 31 - scaffold_4 maker gene 1249732 1251620 . - . dp_gene3484 0
7979 scaffold_4 1528008 1528008 tsr_10806 22 - scaffold_4 maker gene 1526600 1528103 . - . dp_gene3531 0
8075 scaffold_4 3169155 3169155 tsr_10937 33 - scaffold_4 maker gene 3163942 3181658 . - . dp_gene3849 0
8076 scaffold_4 3169221 3169221 tsr_10938 30 - scaffold_4 maker gene 3163942 3181658 . - . dp_gene3849 0
8086 scaffold_4 3539041 3539041 tsr_10950 32 - scaffold_4 maker gene 3536576 3539091 . - . dp_gene3906 0
8155 scaffold_404 18830 18830 tsr_11037 31 + scaffold_404 maker gene 10490 18179 . + . dp_gene21936 651
8200 scaffold_41 674492 674492 tsr_11084 23 + scaffold_41 maker gene 674225 683012 . + . dp_gene14533 0
8217 scaffold_412 7254 7256 tsr_11112 76 + scaffold_412 maker gene 7206 11100 . + . dp_gene21957 0
8340 scaffold_42 473484 473484 tsr_11249 28 - scaffold_42 maker gene 473673 475434 . - . dp_gene14584 188
8369 scaffold_424 7424 7424 tsr_11282 22 + scaffold_424 maker gene 4254 10690 . + . dp_gene21973 0
8372 scaffold_43 34099 34099 tsr_11287 23 + scaffold_43 maker gene 34099 34932 . + . dp_gene14639 0
8414 scaffold_43 869115 869187 tsr_11342 207 + scaffold_43 maker gene 869118 870243 . + . dp_gene14783 0
8415 scaffold_43 869306 869307 tsr_11343 104 + scaffold_43 maker gene 869118 870243 . + . dp_gene14783 0
8416 scaffold_43 869355 869355 tsr_11344 45 + scaffold_43 maker gene 869118 870243 . + . dp_gene14783 0
8432 scaffold_43 321912 321994 tsr_11365 1162 - scaffold_43 maker gene 321478 322269 . - . dp_gene14691 0
8433 scaffold_43 322158 322158 tsr_11366 31 - scaffold_43 maker gene 321478 322269 . - . dp_gene14691 0
8434 scaffold_43 322281 322286 tsr_11367 10326 - scaffold_43 maker gene 322703 324239 . - . dp_gene14692 417
8440 scaffold_43 854624 854625 tsr_11380 85 - scaffold_43 maker gene 852953 854685 . - . dp_gene14781 0
8479 scaffold_44 515441 515441 tsr_11428 37 + scaffold_44 maker gene 513811 514660 . + . dp_gene14852 781
8480 scaffold_44 517698 517700 tsr_11429 51 + scaffold_44 maker gene 515590 521420 . + . dp_gene14853 0
8481 scaffold_44 520039 520041 tsr_11430 107 + scaffold_44 maker gene 515590 521420 . + . dp_gene14853 0
8523 scaffold_44 860367 860367 tsr_11485 21 - scaffold_44 maker gene 859064 860405 . - . dp_gene14908 0
8572 scaffold_46 316597 316597 tsr_11551 30 + scaffold_46 maker gene 316310 317981 . + . dp_gene14985 0
8577 scaffold_46 500148 500148 tsr_11558 24 + scaffold_46 maker gene 500149 506819 . + . dp_gene15003 0
8638 scaffold_48 101329 101329 tsr_11642 35 + scaffold_48 maker gene 101259 108110 . + . dp_gene15102 0
8724 scaffold_5 21225 21226 tsr_11752 162 + scaffold_5 maker gene 21187 26169 . + . dp_gene4090 0
8726 scaffold_5 305478 305478 tsr_11757 88 + scaffold_5 maker gene 305365 311227 . + . dp_gene4110 0
8742 scaffold_5 883646 883681 tsr_11778 157 + scaffold_5 maker gene 883374 893949 . + . dp_gene4173 0
8859 scaffold_5 3863984 3863985 tsr_11946 85 + scaffold_5 maker gene 3859381 3870029 . + . dp_gene4656 0
8860 scaffold_5 3867657 3867658 tsr_11947 80 + scaffold_5 maker gene 3859381 3870029 . + . dp_gene4656 0
8889 scaffold_5 4800288 4800320 tsr_11994 48 + scaffold_5 maker gene 4797575 4799371 . + . dp_gene4752 918
8890 scaffold_5 4800366 4800366 tsr_11995 24 + scaffold_5 maker gene 4797575 4799371 . + . dp_gene4752 995
8919 scaffold_5 380079 380079 tsr_12026 49 - scaffold_5 maker gene 378657 383402 . - . dp_gene4116 0
8943 scaffold_5 933215 933215 tsr_12055 72 - scaffold_5 maker gene 929275 937826 . - . dp_gene4177 0
8944 scaffold_5 937629 937629 tsr_12056 27 - scaffold_5 maker gene 929275 937826 . - . dp_gene4177 0
8960 scaffold_5 1398178 1398178 tsr_12081 38 - scaffold_5 maker gene 1398397 1399062 . - . dp_gene4240 218
8964 scaffold_5 1448574 1448578 tsr_12086 473 - scaffold_5 maker gene 1427934 1448993 . - . dp_gene4250 0
8997 scaffold_5 2477586 2477586 tsr_12148 48 - scaffold_5 maker gene 2473656 2477746 . - . dp_gene4417 0
9008 scaffold_5 3084477 3084477 tsr_12163 25 - scaffold_5 maker gene 3079691 3087275 . - . dp_gene4520 0
9020 scaffold_5 3315693 3315693 tsr_12177 23 - scaffold_5 maker gene 3312171 3319634 . - . dp_gene4558 0
9029 scaffold_5 3430736 3430736 tsr_12186 22 - scaffold_5 maker gene 3430852 3432214 . - . dp_gene4581 115
9071 scaffold_5 4260432 4260432 tsr_12241 98 - scaffold_5 maker gene 4254591 4265876 . - . dp_gene4709 0
9158 scaffold_50 317366 317366 tsr_12354 26 - scaffold_50 maker gene 313206 317618 . - . dp_gene15300 0
9199 scaffold_51 483763 483763 tsr_12416 20 - scaffold_51 maker gene 482704 483764 . - . dp_gene15419 0
9206 scaffold_51 812384 812384 tsr_12428 31 - scaffold_51 maker gene 809920 812615 . - . dp_gene15460 0
9209 scaffold_52 216157 216186 tsr_12434 99 + scaffold_52 maker gene 215974 218149 . + . dp_gene15484 0
9210 scaffold_52 216236 216236 tsr_12435 20 + scaffold_52 maker gene 215974 218149 . + . dp_gene15484 0
9261 scaffold_55 362336 362336 tsr_12505 106 - scaffold_55 maker gene 362866 363971 . - . dp_gene15597 529
9267 scaffold_56 22755 22755 tsr_12515 20 + scaffold_56 maker gene 22662 29264 . + . dp_gene15622 0
9268 scaffold_56 255309 255309 tsr_12519 20 + scaffold_56 maker gene 255208 258018 . + . dp_gene15660 0
9282 scaffold_56 633814 633814 tsr_12537 46 + scaffold_56 maker gene 631326 633535 . + . dp_gene15721 279
9290 scaffold_56 8164 8164 tsr_12548 21 - scaffold_56 maker gene 7032 8405 . - . dp_gene15620 0
9291 scaffold_56 8346 8413 tsr_12549 2735 - scaffold_56 maker gene 7032 8405 . - . dp_gene15620 0
9320 scaffold_56 737331 737331 tsr_12595 23 - scaffold_56 maker gene 736949 737607 . - . dp_gene15742 0
9333 scaffold_57 106769 106769 tsr_12610 22 + scaffold_57 maker gene 106743 107609 . + . dp_gene15774 0
9334 scaffold_57 603229 603238 tsr_12614 328 + scaffold_57 maker gene 603238 605265 . + . dp_gene15794 0
9362 scaffold_58 290820 290820 tsr_12649 21 + scaffold_58 maker gene 290743 292556 . + . dp_gene15843 0
9369 scaffold_58 412132 412132 tsr_12656 59 + scaffold_58 maker gene 411963 414665 . + . dp_gene15869 0
